num,name,heightm,weightkg,color,prevo,evoLevel,otherFormes,formeOrder,canGigantamax,baseSpecies,forme,requiredItem,changesFrom,evoCondition,evoType,gen,evoItem,evoRegion,canHatch,evoMove,baseForme,cosmeticFormes,maxHP,requiredAbility,battleOnly,requiredMove,requiredItems,cannotDynamax,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water,eggGroup_Amorphous,eggGroup_Bug,eggGroup_Ditto,eggGroup_Dragon,eggGroup_Fairy,eggGroup_Field,eggGroup_Flying,eggGroup_Grass,eggGroup_Human-Like,eggGroup_Mineral,eggGroup_Monster,eggGroup_Undiscovered,eggGroup_Water 1,eggGroup_Water 2,eggGroup_Water 3,M,F,hp,atk,def,spa,spd,spe,ability_0,ability_H,ability_1,ability_S,legendary,numEvos
1,Bulbasaur,0.7000000000000001,6.9,Green,,,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.875,0.125,45,49,49,65,65,45,Overgrow,Chlorophyll,,,,1.0
2,Ivysaur,1.0,13.0,Green,Bulbasaur,16.0,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.875,0.125,60,62,63,80,80,60,Overgrow,Chlorophyll,,,,1.0
3,Venusaur,2.0,100.0,Green,Ivysaur,32.0,['Venusaur-Mega'],"['Venusaur', 'Venusaur-Mega']",G-Max Vine Lash,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.875,0.125,80,82,83,100,100,80,Overgrow,Chlorophyll,,,,
3,Venusaur-Mega,2.4,155.5,Green,,,,,,Venusaur,Mega,Venusaurite,,,,6.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.875,0.125,80,100,123,122,120,80,Thick Fat,,,,,
3,Venusaur-Gmax,2.0,0.0,Green,,,,,,Venusaur,Gmax,,Venusaur,,,8.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.875,0.125,80,82,83,100,100,80,Overgrow,Chlorophyll,,,,
4,Charmander,0.6000000000000001,8.5,Red,,,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.875,0.125,39,52,43,60,50,65,Blaze,Solar Power,,,,1.0
5,Charmeleon,1.1,19.0,Red,Charmander,16.0,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.875,0.125,58,64,58,80,65,80,Blaze,Solar Power,,,,1.0
6,Charizard,1.7000000000000002,90.5,Red,Charmeleon,36.0,"['Charizard-Mega-X', 'Charizard-Mega-Y']","['Charizard', 'Charizard-Mega-X', 'Charizard-Mega-Y']",G-Max Wildfire,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.875,0.125,78,84,78,109,85,100,Blaze,Solar Power,,,,
6,Charizard-Mega-X,1.7000000000000002,110.5,Black,,,,,,Charizard,Mega-X,Charizardite X,,,,1.0,,,,,,,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.875,0.125,78,130,111,130,85,100,Tough Claws,,,,,
6,Charizard-Mega-Y,1.7000000000000002,100.5,Red,,,,,,Charizard,Mega-Y,Charizardite Y,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.875,0.125,78,104,78,159,115,100,Drought,,,,,
6,Charizard-Gmax,28.0,0.0,Red,,,,,,Charizard,Gmax,,Charizard,,,8.0,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.875,0.125,78,84,78,109,85,100,Blaze,Solar Power,,,,
7,Squirtle,0.5,9.0,Blue,,,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.875,0.125,44,48,65,50,64,43,Torrent,Rain Dish,,,,1.0
8,Wartortle,1.0,22.5,Blue,Squirtle,16.0,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.875,0.125,59,63,80,65,80,58,Torrent,Rain Dish,,,,1.0
9,Blastoise,1.6,85.5,Blue,Wartortle,36.0,['Blastoise-Mega'],"['Blastoise', 'Blastoise-Mega']",G-Max Cannonade,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.875,0.125,79,83,100,85,105,78,Torrent,Rain Dish,,,,
9,Blastoise-Mega,1.6,101.1,Blue,,,,,,Blastoise,Mega,Blastoisinite,,,,6.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.875,0.125,79,103,120,135,115,78,Mega Launcher,,,,,
9,Blastoise-Gmax,1.6,0.0,Blue,,,,,,Blastoise,Gmax,,Blastoise,,,8.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.875,0.125,79,83,100,85,105,78,Torrent,Rain Dish,,,,
10,Caterpie,0.30000000000000004,2.9,Green,,,,,,,,,,,,1.0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,30,35,20,20,45,Shield Dust,Run Away,,,,1.0
