num,name,heightm,weightkg,color,tier,prevo,evoLevel,forme,evoItem,evoCondition,evoMove,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water,eggGroup_Amorphous,eggGroup_Bug,eggGroup_Ditto,eggGroup_Dragon,eggGroup_Fairy,eggGroup_Field,eggGroup_Flying,eggGroup_Grass,eggGroup_Human-Like,eggGroup_Mineral,eggGroup_Monster,eggGroup_Undiscovered,eggGroup_Water 1,eggGroup_Water 2,eggGroup_Water 3,M,F,hp,atk,def,spa,spd,spe,ability_0,ability_H,ability_1,ability_S,legendary,numEvos,gen
1,Bulbasaur,0.7000000000000001,6.9,Green,LC,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.875,0.125,45,49,49,65,65,45,Overgrow,Chlorophyll,,,,1.0,1
2,Ivysaur,1.0,13.0,Green,NFE,Bulbasaur,16.0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.875,0.125,60,62,63,80,80,60,Overgrow,Chlorophyll,,,,1.0,1
3,Venusaur,2.0,100.0,Green,UU,Ivysaur,32.0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.875,0.125,80,82,83,100,100,80,Overgrow,Chlorophyll,,,,,1
3,Venusaur-Mega,2.4,155.5,Green,Illegal,,,Mega,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.875,0.125,80,100,123,122,120,80,Thick Fat,,,,,,6
3,Venusaur-Gmax,2.0,0.0,Green,AG,,,Gmax,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.875,0.125,80,82,83,100,100,80,Overgrow,Chlorophyll,,,,,8
4,Charmander,0.6000000000000001,8.5,Red,LC,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.875,0.125,39,52,43,60,50,65,Blaze,Solar Power,,,,1.0,1
5,Charmeleon,1.1,19.0,Red,NFE,Charmander,16.0,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.875,0.125,58,64,58,80,65,80,Blaze,Solar Power,,,,1.0,1
6,Charizard,1.7000000000000002,90.5,Red,PU,Charmeleon,36.0,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.875,0.125,78,84,78,109,85,100,Blaze,Solar Power,,,,,1
6,Charizard-Mega-X,1.7000000000000002,110.5,Black,Illegal,,,Mega-X,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.875,0.125,78,130,111,130,85,100,Tough Claws,,,,,,1
6,Charizard-Mega-Y,1.7000000000000002,100.5,Red,Illegal,,,Mega-Y,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.875,0.125,78,104,78,159,115,100,Drought,,,,,,1
6,Charizard-Gmax,28.0,0.0,Red,AG,,,Gmax,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.875,0.125,78,84,78,109,85,100,Blaze,Solar Power,,,,,8
7,Squirtle,0.5,9.0,Blue,LC,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.875,0.125,44,48,65,50,64,43,Torrent,Rain Dish,,,,1.0,1
