,species,habitat
0,Bulbasaur,Kantonian forests and jungles
1,Ivysaur,Kantonian forests and jungles
2,Venusaur,Kantonian forests and jungles
3,Charmander,Kantonian mountains and volcanoes
4,Charmeleon,Kantonian mountains and volcanoes
5,Charizard,Kantonian mountains and volcanoes
6,Squirtle,Kantonian lakes and ponds
7,Wartortle,Kantonian lakes and ponds
8,Blastoise,Kantonian lakes and ponds
9,Caterpie,"Forests, jungles"
10,Metapod,"Forests, jungles"
11,Butterfree,"Forests, jungles"
12,Weedle,"Forests, woodlands"
13,Kakuna,"Forests, woodlands"
14,Beedrill,"Forests, woodlands"
15,Pidgey,"Kanto and Johtonian forests, fields, and grasslands, cities"
16,Pidgeotto,Kantonian and Johto forests and fields
17,Pidgeot,Kantonian and Johtonian forests and fields
18,Rattata,"Fields, plains, savannas, urban areas"
19,Raticate,"Fields, plains, savannas, urban areas"
20,Spearow,"Barren wastelands, fields, rocky areas"
21,Fearow,"Rock spires near canyons, wastelands, tall trees"
22,Ekans,"Savannas, plains, jungles"
23,Arbok,"Savannas, plains, jungles"
24,Pikachu,"Forests, areas with electrical activity"
25,Raichu,"Forests, areas with electrical activity"
26,Sandshrew,"Caves, grasslands, deserts"
27,Sandslash,"Caves, grasslands, deserts"
28,Nidoran♀,"Savannas, fields"
29,Nidorina,"Savannas, fields"
30,Nidoqueen,"Savannas, fields"
31,Nidoran♂,"Savannas, fields"
32,Nidorino,"Savannas, fields"
33,Nidoking,"Savannas, fields"
34,Clefairy,Mountains
35,Clefable,Mountains
36,Vulpix,"Fields, active and dormant volcanoes, cemeteries"
37,Ninetales,"Fields, active and dormant volcanoes, cemeteries"
38,Jigglypuff,Grassy meadows
39,Wigglytuff,Grassy meadows
40,Zubat,Caves
41,Golbat,Caves
42,Oddish,"Grassy plains, tropical jungles, swamps"
43,Gloom,"Grassy plains, tropical jungles, swamps"
44,Vileplume,"Grassy plains, tropical jungles, swamps"
45,Paras,"Damp caves, forests, and woodlands"
46,Parasect,"Damp caves, forests, and woodlands"
47,Venonat,"Forests, woodlands, jungles"
48,Venomoth,"Forests, woodlands, jungles"
49,Diglett,"Subterranean caves and tunnels, deserts"
50,Dugtrio,"Subterranean caves and tunnels, deserts"
51,Meowth,"Urban towns and cities, forests"
52,Persian,"Urban towns and cities, forests"
53,Psyduck,"Temperate lakes and ponds, tropical rivers"
54,Golduck,"Fast-moving tropical rivers, lakes, beaches"
55,Mankey,"Forests, jungles, mountains"
